ZIP,city,state_id,state_name,population,density,MSA_Name,UHII
94541,Hayward,CA,California,67785.0,3511.0,,6.86725864742232
94542,Hayward,CA,California,14729.0,657.2,,4.49464568695139
94544,Hayward,CA,California,76739.0,2705.4,,7.84369026323141
94545,Hayward,CA,California,33186.0,884.9,,6.66437974926473
94546,Castro Valley,CA,California,45848.0,1109.3,,5.75435395690163
94547,Hercules,CA,California,26245.0,1787.1,,2.61677126155986
94548,Knightsen,CA,California,637.0,106.4,,-0.111773529
94549,Lafayette,CA,California,28247.0,549.6,,-1.31768478708327
94550,Livermore,CA,California,49610.0,70.4,,0.959479249244561
94551,Livermore,CA,California,38739.0,180.8,,2.26620955883796
94552,Castro Valley,CA,California,14359.0,107.0,,-0.284247626403549
94553,Martinez,CA,California,48600.0,304.4,,1.06700004547905
94555,Fremont,CA,California,37500.0,1045.0,,6.45860386731314
94556,Moraga,CA,California,15922.0,318.9,,-2.55607633246827
94560,Newark,CA,California,47145.0,906.7,,6.61981019686846
94561,Oakley,CA,California,45386.0,1010.6,,2.23357249930227
94563,Orinda,CA,California,19409.0,365.1,,-5.20878612766313
94564,Pinole,CA,California,18835.0,1064.8,,1.81913154121521
94565,Pittsburg,CA,California,99933.0,851.9,,1.97618644237727
94566,Pleasanton,CA,California,44782.0,850.9,,3.07025686551475
94568,Dublin,CA,California,70542.0,1651.2,,3.18518184324596
94572,Rodeo,CA,California,8712.0,366.0,,3.64350849868711
94577,San Leandro,CA,California,47533.0,2261.7,,6.48468455736862
94578,San Leandro,CA,California,41567.0,3520.6,,7.20709539694643
94579,San Leandro,CA,California,19955.0,2463.4,,6.34115121015331
94580,San Lorenzo,CA,California,28866.0,3354.6,,6.05870510051803
94582,San Ramon,CA,California,47182.0,1358.3,,2.9217163799822
94583,San Ramon,CA,California,39418.0,716.7,,1.28303370548459
94587,Union City,CA,California,68141.0,1340.2,,6.44743114735286
94588,Pleasanton,CA,California,34423.0,406.0,,2.04867247799265
94595,Walnut Creek,CA,California,17051.0,1261.6,,0.115164499271383
94596,Walnut Creek,CA,California,23592.0,1502.5,,2.43142286533427
94597,Walnut Creek,CA,California,24235.0,2308.8,,3.00680412837347
94598,Walnut Creek,CA,California,26293.0,492.5,,3.34334841337512
94601,Oakland,CA,California,52289.0,6310.5,,6.01215631742684
94602,Oakland,CA,California,31450.0,3338.3,,3.56459982280065
94603,Oakland,CA,California,36440.0,5214.6,,6.52247419370896
94605,Oakland,CA,California,44168.0,1931.4,,4.68691740159232
94606,Oakland,CA,California,38746.0,6431.4,,4.11603939773326
94607,Oakland,CA,California,27891.0,1827.9,,4.28407208460459
94608,Emeryville,CA,California,33998.0,4770.4,,2.89754401617402
94609,Oakland,CA,California,24854.0,5762.4,,4.07992419659814
94610,Oakland,CA,California,32675.0,6032.4,,3.40928449639796
94611,Oakland,CA,California,39240.0,2075.5,,0.724062529599412
94612,Oakland,CA,California,17663.0,7116.9,,4.52227894478136
94618,Oakland,CA,California,16845.0,2684.2,,2.03403560135
94619,Oakland,CA,California,28044.0,1297.4,,4.39554662983161
94621,Oakland,CA,California,34658.0,1571.8,,6.82725454240419
94702,Berkeley,CA,California,17073.0,5142.0,,1.32849306767957
94703,Berkeley,CA,California,20874.0,6258.9,,2.12554137326983
94704,Berkeley,CA,California,24427.0,11081.8,,2.01991651757752
94705,Berkeley,CA,California,14149.0,1615.9,,1.71053223579215
94706,Albany,CA,California,20486.0,5401.6,,-0.13720841498222
94707,Berkeley,CA,California,12728.0,2788.9,,0.0719558393668251
94708,Berkeley,CA,California,11967.0,1387.5,,-1.75054700753182
94709,Berkeley,CA,California,12179.0,6960.3,,0.766416199089672
94710,Berkeley,CA,California,8144.0,1455.8,,-1.10664711691424
94720,Berkeley,CA,California,5649.0,3097.9,,0.868381170502305
94801,Richmond,CA,California,33564.0,1124.1,,3.25460136695286
94803,El Sobrante,CA,California,27588.0,830.9,,1.56826180205037
94804,Richmond,CA,California,44679.0,2661.9,,3.01079253766613
94805,Richmond,CA,California,15356.0,3178.6,,2.10712081071677
94806,San Pablo,CA,California,61749.0,3036.4,,0.84166956381433
95002,Alviso,CA,California,1639.0,66.1,"San Jose-Sunnyvale-Santa Clara, CA",2.982548367
95008,Campbell,CA,California,48415.0,2892.2,"San Jose-Sunnyvale-Santa Clara, CA",4.23910977403727
95014,Cupertino,CA,California,61109.0,949.1,"San Jose-Sunnyvale-Santa Clara, CA",1.8590265197145
95020,Gilroy,CA,California,67945.0,172.8,"San Jose-Sunnyvale-Santa Clara, CA",0.223872042591433
95030,Los Gatos,CA,California,12969.0,474.9,"San Jose-Sunnyvale-Santa Clara, CA",-1.58974055324574
95032,Los Gatos,CA,California,27682.0,572.6,"San Jose-Sunnyvale-Santa Clara, CA",1.77615531310214
95035,Milpitas,CA,California,78479.0,1350.8,"San Jose-Sunnyvale-Santa Clara, CA",4.32288222201186
95037,Morgan Hill,CA,California,51517.0,165.6,"San Jose-Sunnyvale-Santa Clara, CA",0.133094422241405
95046,San Martin,CA,California,6766.0,138.9,"San Jose-Sunnyvale-Santa Clara, CA",1.29332833891663
95050,Santa Clara,CA,California,39827.0,2818.8,"San Jose-Sunnyvale-Santa Clara, CA",3.37305674472495
95051,Santa Clara,CA,California,61345.0,3593.6,"San Jose-Sunnyvale-Santa Clara, CA",3.23605239252029
95054,Santa Clara,CA,California,25196.0,1514.6,"San Jose-Sunnyvale-Santa Clara, CA",0.910160286949725
95070,Saratoga,CA,California,31383.0,427.8,"San Jose-Sunnyvale-Santa Clara, CA",0.429039803335301
95110,San Jose,CA,California,19444.0,1648.4,"San Jose-Sunnyvale-Santa Clara, CA",3.57756895151311
95111,San Jose,CA,California,58885.0,3916.3,"San Jose-Sunnyvale-Santa Clara, CA",5.06335876964382
95112,San Jose,CA,California,56766.0,3014.9,"San Jose-Sunnyvale-Santa Clara, CA",3.75941010482019
95113,San Jose,CA,California,2443.0,2708.3,"San Jose-Sunnyvale-Santa Clara, CA",3.30386972800027
95116,San Jose,CA,California,48816.0,5288.9,"San Jose-Sunnyvale-Santa Clara, CA",4.59732269517314
